,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,secondary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,presale_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,sales_platform_cd,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,gndr_cd,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,occpn_1st_val,occpn_2nd_val,dist_to_ven
2710,2711,fdc96b647f58563167be,e4389392846a260a2907,f1f4ff45864a79bbab32,476399dfd9d4a6514274,Brandi Carlile,Brandi Carlile,Iron and Wine,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Brandi Carlile,LIVE NATION & SMA PRESENT       BRANDI CARLILE            RAIN OR SHINE             CABOOZE PLAZA           917 CEDAR AVE*MPLS    SUN AUG 02 2015 DRS 400PM ,2,108.0,Mail,2015-08-02 21:00:00,2015-08-02,2015-05-06,2015-05-08,2015-05-20 13:58:53,2015-05-20,2015-05-22,CST,MINNEAPOLIS,MINNESOTA,55404,www.ticketmaster.com,T ,Y ,Minnesota,476399dfd9d4a6514274,,,,,,,,,,,,,,
2711,2712,0f9594874ba356b2a599,96d2bd0e96ad8e4919d7,b85143bf51323b72e53c,4f2dd725fb701f407a78,Kanye West Performing 808's & heartbreak,Kanye West,,CONCERTS,RAP/URBAN,CONCERTS,Kanye West Performing 808's & heartbreak, HEWITT/SILVA/LIVE NATION         KANYE WEST               *** *** ***              HOLLYWOOD BOWL      RAIN OR SHINE/NO GLASS/CAN SAT SEP 26 2015 8:00 PM  ,4,180.0,TicketFast,2015-09-27 03:00:00,2015-09-26,2015-09-01,2015-09-04,2015-09-01 17:23:12,2015-09-01,2015-09-01,PST,HOLLYWOOD,CALIFORNIA,90068,iphone.ticketmaster.us,T ,Y ,Los Angeles,4f2dd725fb701f407a78,,,,,,,,,,,,,,
2713,2714,10597b2bdaf5c2cdf6c6,89712180ab9f1ed64244,7fc1d073d4a4eb197c94,73b019fc6328bb13ba44,Vans Warped Tour Presented By Journeys,Vans Warped Tour,Handguns,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Vans Warped Tour Presented By Journeys,       LIVE NATION             VANS WARPED TOUR       PRESENTED BY JOURNEYS     WWW.VANSWARPEDTOUR.COM   AARON'S AMP AT LAKEWOOD  THU JUL 02 2015 11AM DOORS,1,38.5,TicketFast,2015-07-02 15:00:00,2015-07-02,2014-12-12,2014-12-12,2015-06-14 15:31:21,2015-06-14,2015-06-14,EST,ATLANTA,GEORGIA,30315,mobile.livenation.us,T ,Y ,Atlanta,73b019fc6328bb13ba44,,,,,,,,,,,,,,
2714,2715,d77e03cef4f571af8a54,c772b8a494c3bc421d7e,b85143bf51323b72e53c,d6a6ca424f29916e683d,Disco Donnie And Hob Present Excision,Excision,,CONCERTS,DANCE MUSIC/DANCE,CONCERTS,Disco Donnie And Hob Present Excision,DISCO DONNIE & HOB PRESENT         EXCISION         GENERAL ADMISSION STANDING HOUSE OF BLUES - ORLANDO   NO REFUNDS / ALL AGES   FRI FEB 12 2016 DRS 700PM ,1,27.75,TicketFast,2016-02-13 00:00:00,2016-02-12,2015-11-16,2015-11-17,2016-02-04 19:25:43,2016-02-04,2016-02-09,EST,ORLANDO,FLORIDA,32830,mobile.livenation.us,T ,Y ,Orlando,d6a6ca424f29916e683d,,,,,,,,,,,,,,
2715,2716,1aa078e755ebc404fb07,1877246a07b2c726071e,cc8582ac2d5a6bee133c,10feaa7dcdad48589886,Kaiser Chiefs,Kaiser Chiefs,Priory,CONCERTS,ROCK/POP,CONCERTS,Kaiser Chiefs,   WWW.IRVINGPLAZA.COM          KAISER CHIEFS                                        IRVING PLAZA        17 IRVING PL @ E 15TH ST WED MAY 13 2015 DRS 700PM ,1,28.5,TicketFast,2015-05-13 23:00:00,2015-05-13,2015-01-28,2015-01-30,2015-05-13 01:13:17,2015-05-12,,EST,NEW YORK,NEW YORK,10003,mobile.livenation.us,F ,Y ,New York,10feaa7dcdad48589886,,,,,,,,,,,,,,
2720,2721,e00fd96c378c8721d89b,63d7ad80e1e7c3f1719c,8d74e7609bc261c55a13,7b919f3ba2440cff9bac,Weezer And Panic! At The Disco - summer tour 2016,Weezer,Panic! At The Disco,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Weezer And Panic! At The Disco - summer tour 2016, RAIN OR SHINE/CPATW PRES           Weezer                      &                Panic! At The Disco        WOODLANDS PAVILION     FRI JUN 10 2016 7:00 PM  ,2,110.0,eTicket,2016-06-11 00:00:00,2016-06-10,2016-01-19,2016-01-22,2016-01-21 16:09:24,2016-01-21,,CST,THE WOODLANDS,TEXAS,77380,www.concerts.livenation.com,F ,Y ,Houston,7b919f3ba2440cff9bac,,,,,,,,,,,,,,
2723,2724,da53fd5a0725fe1aab49,8ece566dec0c146b25cd,b85143bf51323b72e53c,be6e54ac68202b415244,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,"   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR SOLDIER FIELD-CHICAGO, IL       RAIN OR SHINE         SAT MAY 28 2016 6:00PM  ",4,400.0,TicketFast,2016-05-28 23:00:00,2016-05-28,2016-02-17,2016-02-25,2016-02-17 16:10:13,2016-02-17,2016-02-26,CST,CHICAGO,ILLINOIS,60605,iphone.ticketmaster.us,T ,Y ,Chicago,be6e54ac68202b415244,,,,,,,,,,,,,,
2726,2727,b91f2bf4fb75e21d3ba7,3a6b48c682f57f10dbdb,1e8b52e0cd33c18d5764,ce26c104eb9378c070cf,Ingrid Michaelson,Ingrid Michaelson,Jukebox the Ghost,CONCERTS,ROCK/POP,CONCERTS,Ingrid Michaelson,   LIVE NATION PRESENTS       INGRID MICHAELSON         WWW.LIVENATION.COM     BLUE HILLS BANK PAVILION  NO CAMERAS/TAPES/SMOKING   SAT JUN 27 2015 7:00PM  ,1,30.0,eTicket,2015-06-27 23:00:00,2015-06-27,2015-03-25,2015-03-27,2015-06-15 21:48:09,2015-06-15,2015-06-15,EST,BOSTON,MASSACHUSETTS,02210,www.concerts.livenation.com,T ,Y ,Boston,ce26c104eb9378c070cf,,,,,,,,,,,,,,
2733,2734,d15ffd25f35222823795,06e074b50adecfb5ca56,b85143bf51323b72e53c,942b61123d6d09515164,Coldplay- A Head Full Of Dreams Tour,Coldplay,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Coldplay- A Head Full Of Dreams Tour,"   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOUR   ROSE BOWL, PASADENA          RAIN OR SHINE         SUN AUG 21 2016 7:30PM  ",2,359.0,eTicket,2016-08-22 02:30:00,2016-08-21,2016-02-03,2016-02-05,2016-02-05 01:11:44,2016-02-04,2016-02-05,PST,PASADENA,CALIFORNIA,91103,www.ticketmaster.com,T ,Y ,Los Angeles,942b61123d6d09515164,,,,,,,,,,,,,,
2734,2735,51965003a8d536ed1344,5210189dc1f3cd604e70,e908b315f7b02636a78a,435eb626fd06b15487be,The Smashing Pumpkins & marilyn manson: the end times tour,The Smashing Pumpkins,Marilyn Manson,CONCERTS,ALTERNATIVE ROCK,CONCERTS,The Smashing Pumpkins & marilyn manson: the end times tour,LIVE NATION & MEMI PRESENT  THE SMASHING PUMPKINS              AND                  MARILYN MANSON        Riverbend Music Center   SAT AUG 08 2015 7:00 PM  ,2,92.0,BWC,2015-08-08 23:00:00,2015-08-08,2015-03-31,2015-04-03,2015-08-04 20:57:04,2015-08-04,2015-08-08,EST,CINCINNATI,OHIO,45230,android.ticketmaster.us,T ,Y ,Cincinnati-KY,435eb626fd06b15487be,,,,,,,,,,,,,,
2738,2739,0fdac6caa05d7871fa0b,bc516734826900d353d2,b85143bf51323b72e53c,ce0a7aecfa2c2347372a,Radio 104.5 presents alt-j: fall tour 2015,alt-J,,CONCERTS,OTHER,CONCERTS,Radio 104.5 presents alt-j: fall tour 2015,   Radio 104.5 Presents             ALT-J                 FALL TOUR 2015            FESTIVAL PIER         A RAIN OR SHINE EVENT    FRI SEP 25 2015 8:00 PM  ,2,75.0,Mail,2015-09-26 00:00:00,2015-09-25,2015-04-02,2015-04-03,2015-04-04 01:11:44,2015-04-03,2015-04-06,EST,PHILADELPHIA,PENNSYLVANIA,19106,mobile.ticketmaster.us,T ,Y ,Delaware Valley,ce0a7aecfa2c2347372a,,,,,,,,,,,,,,
2740,2741,8c3094c4ae7c26673adf,da99b39f4a24973bf3e0,b85143bf51323b72e53c,7ae1ba97f8bef7e0017f,Foghat,Foghat,,CONCERTS,ROCK/POP,CONCERTS,Foghat,        ** *** **                   FOGHAT                  ** *** **             HARD ROCK ROCKSINO         Northfield Park       SUN JUL 19 2015 7:30 PM  ,1,20.0,TicketFast,2015-07-19 23:30:00,2015-07-19,2015-04-30,2015-05-01,2015-05-13 00:23:43,2015-05-12,2015-05-12,CST,NORTHFIELD,OHIO,44067,www.ticketmaster.com,T ,Y ,Cleveland,7ae1ba97f8bef7e0017f,,,,,,,,,,,,,,
2743,2744,eba7a8f06e940519d2ea,0df67dcd84656d161976,e1dcc88bfb1ef772cb87,5e9f5e71c5ee1e83dd98,The Offspring,The Offspring,Jawws,CONCERTS,ALTERNATIVE ROCK,CONCERTS,The Offspring,   RADIO 105.7 PRESENTS         THE OFFSPRING                 * * *                 THE TABERNACLE          152 LUCKIE STREET      WED APR 29 2015 8:00 PM  ,2,63.0,eTicket,2015-04-30 00:00:00,2015-04-29,2015-03-25,2015-03-27,2015-04-16 15:08:29,2015-04-16,2015-04-29,EST,ATLANTA,GEORGIA,30303,www.concerts.livenation.com,T ,Y ,Atlanta,5e9f5e71c5ee1e83dd98,,,,,,,,,,,,,,
2744,2745,f6bdfd5650600f9a6a42,d7da63c3fc19e3acfef3,fc76b1ed0a18d7c33aac,026a9e2c74e252de5217,Outcry Tour,Hillsong Worship,Kari Jobe,CONCERTS,GOSPEL,CONCERTS,Outcry Tour,  LN & PREMIER PRESENTS          OUTCRY TOUR         HILLSONG WORSHIP & MORE      XCEL ENERGY CENTER          OUTCRYTOUR.COM       TUE APR 12 2016 6:30 PM  ,2,94.9,eTicket,2016-04-12 23:30:00,2016-04-12,2015-12-08,2015-12-14,2015-12-14 21:00:54,2015-12-14,,CST,SAINT PAUL,MINNESOTA,55102,www.ticketmaster.com,F ,Y ,Minnesota,026a9e2c74e252de5217,,,,,,,,,,,,,,
2745,2746,818071965f7ca9e07260,b10e66a885a1f0eb494d,b85143bf51323b72e53c,c688872ac45019b80df3,Pearl Jam,Pearl Jam,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Pearl Jam,     AN EVENING WITH              PEARL JAM               $3 TO VITALOGY             AMALIE ARENA        NO CAMERAS / VIDEO / REC  MON APR 11 2016 8:00 PM  ,2,135.5,Mail,2016-04-12 00:00:00,2016-04-11,,2016-01-29,2016-01-29 17:03:05,2016-01-29,2016-02-03,EST,TAMPA,FLORIDA,33602,www.ticketmaster.com,T ,Y ,Tampa,c688872ac45019b80df3,,,,,,,,,,,,,,
2749,2750,9ae0e5311b090d14ca78,771fd7158fdaa36499b3,b85143bf51323b72e53c,6010d4b591a95754a0e3,Bette Midler Divine Intervention,Bette Midler,,CONCERTS,ADULT CONTEMPORARY,CONCERTS,Bette Midler Divine Intervention, Live Nation/LME Present         BETTE MIDLER          DIVINE INTERVENTION     CENTURYLINK CENTER OMAHA    NO CAMERAS/VIDEO/REC    FRI JUN 05 2015 8:00 PM  ,6,534.0,eTicket,2015-06-06 01:00:00,2015-06-05,2015-03-11,2015-03-16,2015-05-22 11:37:00,2015-05-22,2015-05-22,CST,OMAHA,NEBRASKA,68102,www.ticketmaster.com,T ,Y ,Iowa\Nebraska,6010d4b591a95754a0e3,,,,,,,,,,,,,,
2753,2754,b0836974d21624c9ccab,f53529c5679ea6ca5a48,b85143bf51323b72e53c,c26b9382a6d3e56e1dbe,Gorge Amphitheatre Camping: Dave Matthews Band,Dave Matthews Band,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Gorge Amphitheatre Camping: Dave Matthews Band,CAMPGRND OPENS 3PM 8/30/12 OVERNIGHT C A M P I N G       * CAMPING PASS *          GORGE CAMPGROUND     * GOOD THESE DATES ONLY *   THU-MON 8/30-9/3/2012   ,1,90.0,Mail,2012-08-31 19:00:00,2012-08-31,2012-03-05,2012-03-09,2012-06-01 00:36:30,2012-05-31,2012-06-04,PST,GEORGE,WASHINGTON,98848,,T ,Y ,Seattle,c26b9382a6d3e56e1dbe,,,,,,,,,,,,,,
2754,2755,8a87d1c92946cfcd2d86,8d43f8055cd8801eee81,49e3bcb6cf27a9346f53,d625ea0113082392ae5f,Jimmy Buffett And The Coral Reefer Band,Jimmy Buffett,Coral Reefer Band,CONCERTS,ROCK/POP,CONCERTS,Jimmy Buffett And The Coral Reefer Band," LAND SHARK - M'VILLE TEQ       JIMMY BUFFETT       AND THE CORAL REEFER BAND  XFINITY CENTER,LOTS 11AM INC $8.50 VEN. FEE $1 SFC  SAT AUG 20 2016 8:00 PM  ",4,544.0,eTicket,2016-08-21 00:00:00,2016-08-20,,2016-02-26,2016-02-26 15:05:51,2016-02-26,2016-02-26,EST,MANSFIELD,MASSACHUSETTS,02048,iphone.ticketmaster.us,T ,Y ,Boston,d625ea0113082392ae5f,,,,,,,,,,,,,,
2755,2756,80c39507fd9c64f7581c,8942df14a66ae20db646,b85143bf51323b72e53c,2257f9d888c5ac1eae93,Dumblonde (aubrey o'day & shannon bex),Dumblonde,,CONCERTS,DANCE MUSIC/DANCE,CONCERTS,Dumblonde (aubrey o'day & shannon bex),"  THEGRAMERCYTHEATRE.COM          DUMBLONDE          16+/NO RESALE OF TICKETS    THE GRAMERCY THEATRE       127 E 23RD ST, NY     WED OCT 07 2015 DRS 700PM ",1,124.0,eTicket,2015-10-07 23:00:00,2015-10-07,2015-09-04,2015-09-04,2015-09-02 23:52:50,2015-09-02,2015-10-07,EST,NEW YORK,NEW YORK,10010,www.concerts.livenation.com,T ,Y ,New York,2257f9d888c5ac1eae93,,,,,,,,,,,,,,
2756,2757,894eb4fa17a3e34a0c6a,06750e399d691385b6d2,e25160dba9f0dc3fc3f3,4162b5f6dc35290c7b41,Mike Stud - back 2 you tour,Mike Stud,OCD: Moosh & Twist,CONCERTS,RAP/URBAN,CONCERTS,Mike Stud - back 2 you tour, DOORS 7:00 PM * ALL AGES         MIKE STUD              BACK 2 YOU TOUR       THE PAGEANT * ST. LOUIS  $2 MINOR SURCHRGE @ DOORS  SAT FEB 13 2016 8:00 PM  ,2,45.0,eTicket,2016-02-14 02:00:00,2016-02-13,2015-10-27,2015-10-30,2016-02-13 15:21:54,2016-02-13,2016-02-13,CST,SAINT LOUIS,MISSOURI,63112,iphone.ticketmaster.us,T ,Y ,St. Louis,4162b5f6dc35290c7b41,,,,,,,,,,,,,,
2757,2758,de9326fdc83f734d648e,e2981973281c70939168,b85143bf51323b72e53c,51621e084453e0d52508,Gorge Amphitheatre Camping Upgrade: Sasquatch! Music Festival,Sasquatch! Festival,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Gorge Amphitheatre Camping Upgrade: Sasquatch! Music Festival,"    *CAMPING UPGRADE*      OVERNIGHT C A M P I N G     OPENS AT 5PM ON 5/24        GORGE CAMPGROUND     * GOOD THESE DATES ONLY *      MAY 24-29, 2012      ",1,200.0,Mail,2012-05-25 19:00:00,2012-05-25,2012-02-08,2012-02-11,2012-03-23 22:48:37,2012-03-23,2012-03-27,PST,GEORGE,WASHINGTON,98848,,T ,Y ,Seattle,51621e084453e0d52508,,,,,,,,,,,,,,
2760,2761,8f3886ae78a138941060,0e7886b245dfe1b7f6e0,911fbc4b2bd2fa7c1498,87ee5b64bef633b1c1d7,V103 Summer Block Party,Jill Scott,Kenny 'Babyface' Edmonds,CONCERTS,R & B,CONCERTS,V103 Summer Block Party,   LIVE NATION PRESENTS    V103 SUMMER BLOCK PARTY          * * * * *          FIRSTMERIT BANK PAVILION                            SAT JUL 11 2015 6:00 PM  ,2,191.0,eTicket,2015-07-11 23:00:00,2015-07-11,2015-05-12,2015-05-15,2015-05-15 15:18:18,2015-05-15,2015-07-11,CST,CHICAGO,ILLINOIS,60605,mobile.livenation.us,T ,Y ,Chicago,87ee5b64bef633b1c1d7,,,,,,,,,,,,,,
2761,2762,f03537986b6115248a0d,06e074b50adecfb5ca56,b85143bf51323b72e53c,db8357010fb171a04f4a,Coldplay - a head full of dreams tour,Coldplay,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Coldplay - a head full of dreams tour,   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOUR LINCOLN FINANCIAL FIELD        RAIN OR SHINE        SAT AUG 06 2016 8:00 PM  ,2,251.0,TicketFast,2016-08-07 00:00:00,2016-08-06,2016-02-01,2016-02-05,2016-02-04 21:16:18,2016-02-04,,EST,PHILADELPHIA,PENNSYLVANIA,19148,mobile.ticketmaster.us,F ,Y ,Delaware Valley,db8357010fb171a04f4a,,,,,,,,,,,,,,
2764,2765,b21fdb7657083c47c822,f59ad80e20ec798ede90,0f342a2aac80d81865bc,0565df5d995f6c96e4b8,Sting & peter gabriel: rock paper scissors,Sting,Peter Gabriel,CONCERTS,ROCK/POP,CONCERTS,Sting & peter gabriel: rock paper scissors,   LIVE NATION PRESENTS     STING & PETER GABRIEL      ROCK PAPER SCISSORS      SAP CENTER AT SAN JOSE     NO CAMERAS/VIDEO/REC    THU JUL 14 2016 8:00 PM  ,2,250.0,eTicket,2016-07-15 03:00:00,2016-07-14,2016-01-20,2016-01-25,2016-01-26 18:54:22,2016-01-26,,PST,SAN JOSE,CALIFORNIA,95113,mobile.ticketmaster.us,F ,Y ,N. California,0565df5d995f6c96e4b8,,,,,,,,,,,,,,
2771,2772,c44e3c6e886b24d30258,3301bfab507ca985d9d1,b168b6a6257846091590,037ab7a83ce0ee85ab63,Shinedown,Shinedown,Nothing More,CONCERTS,ROCK/POP,CONCERTS,Shinedown,   LIVE NATION PRESENTS           SHINEDOWN             WWW.SHINEDOWN.COM           THE TABERNACLE          152 LUCKIE STREET      FRI JUL 31 2015 8:00 PM  ,2,73.0,eTicket,2015-08-01 00:00:00,2015-07-31,2015-04-15,2015-04-17,2015-05-15 16:15:42,2015-05-15,2015-07-31,EST,ATLANTA,GEORGIA,30303,www.concerts.livenation.com,T ,Y ,Atlanta,037ab7a83ce0ee85ab63,,,,,,,,,,,,,,
2773,2774,108ac3de62905f819db9,fcba408c8aaf7a3d9700,7205f93a45b2e20210bf,9d0db0cf2415bdaaad03,Cmt On Tour: Suits & boots with brett eldredge and thomas rhett,Brett Eldredge,Thomas Rhett,CONCERTS,COUNTRY,CONCERTS,Cmt On Tour: Suits & boots with brett eldredge and thomas rhett,       CMT ON TOUR          B. ELDREDGE & T. RHETT        SUITS & BOOTS         EAGLEBANK ARENA - GMU   (FORMERLY PATRIOT CENTER)  FRI DEC 04 2015 7:30 PM  ,1,25.0,eTicket,2015-12-05 00:30:00,2015-12-04,2015-09-30,2015-10-02,2015-11-08 04:34:57,2015-11-07,2015-11-28,EST,FAIRFAX,VIRGINIA,22030,www.ticketmaster.com,T ,Y ,Washington DC,9d0db0cf2415bdaaad03,,,,,,,,,,,,,,
2774,2775,daacf11c9164206f8496,008c508203e5a31bc515,c03d18ce3caaba070946,d3f37e5fcc48720b9a0a,Alt 98.7 presents third eye blind,Third Eye Blind,Bad Bad Hats,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Alt 98.7 presents third eye blind,    ALT 98.7 PRESENTS          THIRD EYE BLIND               ALL AGES                THE WILTERN            FOLLOW US @WILTERN    SAT APR 09 2016 DRS 700PM ,5,200.0,eTicket,2016-04-10 02:00:00,2016-04-09,2016-01-28,2016-01-29,2016-01-29 18:18:19,2016-01-29,,PST,LOS ANGELES,CALIFORNIA,90010,www.concerts.livenation.com,F ,Y ,Los Angeles,d3f37e5fcc48720b9a0a,,,,,,,,,,,,,,
2776,2777,7a0aac0eda3db3a4f16e,8e39b35f80b9a7e23e2b,b85143bf51323b72e53c,3d3a5eb2cd6b758ba432,Violent Femmes,Violent Femmes,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Violent Femmes, CANCELED-REFUNDS P.O.P.        VIOLENT FEMMES            RAIN OR SHINE            RUMSEY PLAYFIELD        69TH ST @ FIFTH AVE     POSTPONED DATE/TIME TBA  ,2,99.0,TicketFast,2015-09-12 22:00:00,2015-09-12,2013-06-20,,2013-08-23 21:36:18,2013-08-23,2013-09-12,EST,NEW YORK,NEW YORK,10022,www.ticketmaster.com,T ,Y ,New York,3d3a5eb2cd6b758ba432,,,,,,,,,,,,,,
2778,2779,115c31c5bcf68d1d49ef,47c66edd15a40f7fd2b1,b85143bf51323b72e53c,5cb6fd8cf089899f7dc5,Digifest,Digifest,,CONCERTS,ROCK/POP,CONCERTS,Digifest, PRODUCED BY LIVE NATION           DIGIFEST                                              ***            JACOBS PAVILION @ NAUTICA  SAT JUL 18 2015 3:30 PM  ,1,35.0,eTicket,2015-07-18 19:30:00,2015-07-18,2015-01-30,2015-02-02,2015-05-27 00:25:26,2015-05-26,2015-07-18,CST,CLEVELAND,OHIO,44113,mobile.livenation.us,T ,Y ,Cleveland,5cb6fd8cf089899f7dc5,,,,,,,,,,,,,,
2780,2781,ddb13b5f02882c8186cb,534c3970ab26662da301,b85143bf51323b72e53c,43f04c4c8632093a6eba,Santigold  we buy gold tour,Santigold,,CONCERTS,ROCK/POP,CONCERTS,Santigold  we buy gold tour,   LIVE NATION PRESENTS           SANTIGOLD              WE BUY GOLD TOUR           THE TABERNACLE          152 LUCKIE STREET      THU APR 28 2016 8:00 PM  ,1,25.5,eTicket,2016-04-29 00:00:00,2016-04-28,2016-02-02,2016-02-05,2016-02-03 23:57:33,2016-02-03,2016-02-03,EST,ATLANTA,GEORGIA,30303,www.concerts.livenation.com,T ,Y ,Atlanta,43f04c4c8632093a6eba,,,,,,,,,,,,,,
2783,2784,8bbf1cc8354390391664,24d54148826b4f5d62ae,b85143bf51323b72e53c,70b0e79d2d0888af825f,Hallmark Channel Presents Trans-siberian Orchestra 2015,Trans-Siberian Orchestra,,CONCERTS,ETHNIC/FOREIGN,CONCERTS,Hallmark Channel Presents Trans-siberian Orchestra 2015,HALLMARK CHANNEL PRESENTS  TRANS-SIBERIAN ORCHESTRA  GHOSTS OF CHRISTMAS EVE          TD GARDEN           NO BAGS/CAMERAS/AUDIO    THU DEC 17 2015 7:30 PM  ,2,145.0,eTicket,2015-12-18 00:30:00,2015-12-17,2015-09-16,2015-09-18,2015-11-27 15:39:18,2015-11-27,2015-11-27,EST,BOSTON,MASSACHUSETTS,02114,www.ticketmaster.com,T ,Y ,Boston,70b0e79d2d0888af825f,,,,,,,,,,,,,,
2784,2785,ad5f8d67938cccf6be47,06e074b50adecfb5ca56,b85143bf51323b72e53c,e099e9f8b7d4b3789755,Coldplay- A Head Full Of Dreams Tour,Coldplay,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Coldplay- A Head Full Of Dreams Tour,   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOUR     METLIFE STADIUM         ***RAIN OR SHINE***     SAT JUL 16 2016 8:00 PM  ,1,74.5,TicketFast,2016-07-17 00:00:00,2016-07-16,2016-01-29,2016-02-05,2016-02-08 00:14:58,2016-02-07,2016-02-14,EST,EAST RUTHERFORD,NEW JERSEY,07073,www.ticketmaster.com,T ,Y ,New York,e099e9f8b7d4b3789755,,,,,,,,,,,,,,
2787,2788,e37b9c3417ee913d275b,83ad9f4b29c0d5cb179f,c9ad48af91d710448693,b18bdafd60392126b376,Slash Featuring Myles Kennedy & the conspirators: world on fire tour,Slash,Fozzy,CONCERTS,ROCK/POP,CONCERTS,Slash Featuring Myles Kennedy & the conspirators: world on fire tour,"   Live Nation Presents   Slash feat. Myles Kennedy    and The Conspirators      SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   SUN MAY 24 2015 8:00 PM  ",1,37.5,eTicket,2015-05-25 01:00:00,2015-05-24,2015-02-25,2015-02-27,2015-05-22 13:39:34,2015-05-22,2015-05-22,CST,DALLAS,TEXAS,75215,www.concerts.livenation.com,T ,Y ,Dallas,b18bdafd60392126b376,,,,,,,,,,,,,,
2790,2791,02f19df3a52746210a9c,4762fe2956bc885f13fe,b85143bf51323b72e53c,834d2c8aab20138d6159,Dead & Company,Dead & Company,,CONCERTS,ROCK/POP,CONCERTS,Dead & Company,   LIVE NATION PRESENTS         DEAD & COMPANY                                        THE FORUM          3900 W. MANCHESTER BLVD   WED DEC 30 2015 7:00 PM  ,4,376.0,eTicket,2015-12-31 03:00:00,2015-12-30,2015-08-26,2015-08-28,2015-08-26 17:08:11,2015-08-26,2015-09-12,PST,INGLEWOOD,CALIFORNIA,90305,iphone.ticketmaster.us,T ,Y ,Los Angeles,834d2c8aab20138d6159,,,,,,,,,,,,,,
2791,2792,4cf57f30fb8baaba6629,008c508203e5a31bc515,967e5a1ba70064d2b9a1,0b29f0f9e4a2da3cffd5,Third Eye Blind And Dashboard Confessional,Third Eye Blind,Dashboard Confessional,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Third Eye Blind And Dashboard Confessional,   LIVE NATION PRESENTS        THIRD EYE BLIND         RED HAT AMPHITHEATER     DASHBOARD CONFESSIONAL        RAIN OR SHINE        TUE JUN 09 2015 7:00 PM  ,1,24.5,eTicket,2015-06-09 23:00:00,2015-06-09,2015-03-10,2015-03-13,2015-05-14 13:48:44,2015-05-14,2015-06-08,EST,RALEIGH,NORTH CAROLINA,27601,www.ticketmaster.com,T ,Y ,Raleigh,0b29f0f9e4a2da3cffd5,,,,,,,,,,,,,,
2792,2793,cd7d80716f00f9d36426,5d6437e83149a0e76d29,1b3f09a8979570e8b1b3,0bffc475afbeefe928bf,Evanescence,Evanescence,Veridia,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Evanescence,"   LIVE NATION PRESENTS          EVANESCENCE                                     SOUTH SIDE BALLROOM     1135 S. LAMAR/DALLAS,TX   SUN NOV 15 2015 8:00 PM  ",1,35.0,Mail,2015-11-16 02:00:00,2015-11-15,2015-07-22,2015-07-25,2015-07-26 03:15:25,2015-07-25,2015-08-05,CST,DALLAS,TEXAS,75215,www.concerts.livenation.com,T ,Y ,Dallas,0bffc475afbeefe928bf,,,,,,,,,,,,,,
2793,2794,cc428edeb08614f8271c,5a30008429ee66fc7b84,6dfc6d87997457f095cc,23e2a7ba2a260cc5ac77,Luke Bryan: Kill The Lights Tour 2016,Luke Bryan,Dustin Lynch,CONCERTS,COUNTRY,CONCERTS,Luke Bryan: Kill The Lights Tour 2016,Kill The Lights Tour 2016         Luke Bryan            www.LukeBryan.com            Dustin Lynch           Mohegan Sun Arena      SAT FEB 27 2016 7:30 PM  ,2,279.0,eTicket,2016-02-28 00:30:00,2016-02-27,2016-01-05,2016-01-08,2016-01-08 17:13:57,2016-01-08,2016-01-08,EST,UNCASVILLE,CONNECTICUT,06382,iphone.ticketmaster.us,T ,Y ,Boston,23e2a7ba2a260cc5ac77,,,,,,,,,,,,,,
